URL,Project,City,Text,Username,Date,Likes,Dislikes,Total Votes
https://mitmachen.jena.de/stufe-1-kurzfristige-entwickelbarkeit,Stufe I - Kurzfristige Entwickelbarkeit,Jena,"Ich kann nicht ganz nachvollziehen, warum in der Planung immer wieder ein Bedeutungsverlust für die Ostseite des Bahnhofs befürchtet wird. Die Umgestaltung zu einem ansehnlicheren Vorplatz ist in dem ganzen Projekt mMn eine der einfachsten Maßnahmen. Die Neugestaltung der Bushaltestellen wäre sicherlich ein Anfang. Mir erschließt es sich nicht ganz, warum die aktuelle Positionen bzw. die Länge der Bushaltestellen als unveränderbar angenommen wird. Über längere Zeit habe ich den Bahnhof nahezu täglich benutzt und ich kann mich nicht an ein einziges Mal erinnern, wo ich mehr als zwei Busse (lange Haltestelle im Norden und Haltestelle der Linie 15 zusammengenommen) auf dem Vorplatz beobachten konnte. Daher verstehe ich die Verlängerung auf 4 Busplätze nicht. Wäre es nicht sinnvoller die Wendeschleife anzupassen, sodass dort zwei Busse hintereinander Platz finden oder die lange Haltestelle auf zwei Plätze zu verkürzen? Selbst das würde für den aktuellen und sicher auch zukünftigen Fahrplan locker ausreichen. So könnte der freigewordene Platz besser genutzt werden um die Aufenthaltsqualität zu steigern, z. B. durch Grünflächen.Ebenso finde ich die Garageneinfahrt erneut falsch positioniert. Um den vollen Vorplatzcharakter entfalten zu können, muss eine möglichst durchgängige Fußgängerfläche geschaffen werden. Dies gelingt nur, wenn die Einfahrt so weit östlich wie möglich platziert wird.Für die Westseite sollte es bestimmte Regelungen für Fußgänger und Radfahrer geben, da sonst Konflikte drohen, wenn Radfahrer mit hohem Tempo den Campusradweg entlang gefahren kommen, falls dieser je gebaut wird (woran ich so langsam den Glauben zu verlieren beginne).Ansonsten kann ich den meisten dieser Maßnahmen nur zustimmen und hoffe, dass sie schnellstmöglich umgesetzt werden.",r_luen,05. November 2024 17:16:56,9,0,9
https://mitmachen.jena.de/stufe-1-kurzfristige-entwickelbarkeit,Stufe I - Kurzfristige Entwickelbarkeit,Jena,"Den Campusradweg kann man ruhig ins Reich der Fantasie verbannen, verläuft doch dieser auf Bahnanlagen und die Stadt Jena schafft es nicht einmal sich mit der Bahn auf eine Verlängerung der Unterführung am Bahnhof Jena Göschwitz zu einigen!",Klaus.Kleiner,13. November 2024 05:29:18,6,2,8
https://mitmachen.jena.de/stufe-1-kurzfristige-entwickelbarkeit,Stufe I - Kurzfristige Entwickelbarkeit,Jena,Stichwort: Straßenbahn!,Klaus.kleiner.77,17. November 2024 09:25:14,2,1,3
https://mitmachen.jena.de/stufe-1-kurzfristige-entwickelbarkeit,Stufe I - Kurzfristige Entwickelbarkeit,Jena,"Bis auf I-B und I-D ist das mehr oder weniger nur Aufhübschen der aktuellen Situation, die an der eigentlichen Zielstellung (Tor zur Stadt mit städtebaulich-architektonischer Qualität, hochwertiger Verkehrsverknüpfungspunkt) völlig vorbeigeht. Am besten gefällt mir noch die Barrierefreiheit für das Hohe Trittoir, wobei ich es schöner fände, wenn das nicht in Serpentinen (so erscheint es mir im Plan), sondern in einer sanft geschwungenen Rampe (also ohne Hin- und herlaufen, sondern so wie früher der Weg von der Straßenbahnhaltestelle runter auf den Hölleinplatz) machbar wäre. Angesichts der Maßnahmen I-A bis C beschleicht mich das ungute Gefühl, dass nach dieser Aufhübschung schon wieder Schluss sein könnte und der eigentliche Clou, die Straßenbahn unter den Bahnsteigen nur die Möhre ist, mit der die Bürger geködert werden. Das wäre so typisch Jena.",Brabax,08. November 2024 20:08:28,6,0,6
https://mitmachen.jena.de/stufe-1-kurzfristige-entwickelbarkeit,Stufe I - Kurzfristige Entwickelbarkeit,Jena,Eine Straßenbahn die völlig unrealistisch ist! Braucht man doch für die Planung für eine Verlängerung der Straßenbahn ins Himmelreich,Klaus.Kleiner,13. November 2024 05:31:55,5,4,9
https://mitmachen.jena.de/stufe-1-kurzfristige-entwickelbarkeit,Stufe I - Kurzfristige Entwickelbarkeit,Jena,"Eine Straßenbahn die völlig unrealistisch ist, braucht man doch jetzt allein schon für die Planung einer straßenbahnverlängerung von 1,1 km ins Himmelreich schon mehr als 20 Jahre!",Klaus.Kleiner,13. November 2024 05:33:09,5,4,9
https://mitmachen.jena.de/stufe-1-kurzfristige-entwickelbarkeit,Stufe I - Kurzfristige Entwickelbarkeit,Jena,"Und was interessieren denn so Kleinigkeiten wie die Baukosten und deren Finanzierung, die Machbarkeit, die Umweltverträglichkeit, der tatsächliche Bedarf und andere Belanglosigkeiten, handelt es sich doch hierbei nur um die insgesamte Rahmenplanung für dieses Gebiet für die nächsten 30 Jahre!",klaus.kleiner77,14. November 2024 06:57:01,5,4,9
https://mitmachen.jena.de/stufe-1-kurzfristige-entwickelbarkeit,Stufe I - Kurzfristige Entwickelbarkeit,Jena,"Begegnungszone in der Grietgasse (und gern noch weiteren Teilen der Innenstadt) finde ich eine ganz tolle Idee! Schade, dass man sich das so selten traut umzusetzen!",Dominique,05. November 2024 21:56:35,6,0,6
https://mitmachen.jena.de/stufe-1-kurzfristige-entwickelbarkeit,Stufe I - Kurzfristige Entwickelbarkeit,Jena,"Wie gut Begegnungszonen in Jena funktionieren sieht man an der Johannesstraße, dort werden immer wieder Fußgänger sehr rücksichtsvoll von Fahrradfahren gefährdet!",klaus.kleiner77,14. November 2024 07:00:42,4,5,9
https://mitmachen.jena.de/stufe-1-kurzfristige-entwickelbarkeit,Stufe I - Kurzfristige Entwickelbarkeit,Jena,"Die barrierefreie Gestaltung des Hohen Trottoirs ist begrüßenswert. Beim Zugang zum Westbahnhof für Fußgänger sollte jedoch nicht nur die Westbahnhofstraße in den Blick genommen werden, sondern auch die kleinen Straßen östlich vom Bahnhof. Viele Pendler kommen zu Fuß dort entlang. Ein Ärgernis ist vor allem der plötzlich in eine Schotterpiste übergehende Fußweg an der Sellierstraße. Bei nassem Wetter muss man die Seite wechseln und in der Praxis laufen die Leute auf der Straße. Dieser Zustand ist besonders verwunderlich, da sich in unmittelbarer Nähe ein Seniorenheim befindet und man doch wohl Barrierefreiheit in dessen Umfeld erwarten darf. Für die Toiletten sollte, ggf. auch vorübergehend, eine weniger furchteinflößende Lösung gefunden werden.",mina,04. November 2024 21:48:41,6,0,6
